Clock Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Depth (m),Heading (degrees),Velocity (km/h),,Starting Latitude,Starting Longitude
18:44:48,-13,-1,-3,-1343.51105,-892.40515,-9767.4234,0,0,1.6,,,
18:44:48,8,-47,-74,-1314.0911,-872.79185,-8669.0786,0,358,1.1,,,
18:44:49,-13,-16,-75,-1775.00365,-823.7586,-9659.55025,0,356,0.7,,,
18:44:49,-59,1,-54,-872.79185,-1235.6379,-10532.3421,0,353,0.6,,,
18:44:50,-12,43,-83,-1294.4778,-1137.5714,-10140.0761,0,351,0.4,,,
18:44:50,-49,-10,-69,-1392.5443,-1618.09725,-10257.7559,0,348,0.4,,,
18:44:51,1,-17,-68,-1520.03075,-706.0788,-10375.4357,0,346,0.2,,,
18:44:51,35,33,-22,-1323.89775,-853.17855,-9738.00345,0,344,0.2,,,
18:44:52,42,22,8,-1402.35095,-617.81895,-9071.15125,0,344,0.5,,,
18:44:52,11,2,230,-1255.2512,-882.5985,-10002.783,0,350,1.3,,,
18:44:53,-3,13,97,-1725.9704,-1049.31155,-9296.7042,0,354,1.9,,,
18:44:53,1,18,123,-1127.76475,-470.7192,-9286.89755,0,358,2.1,,,
18:44:54,32,-30,-156,-1176.798,-480.52585,-9757.61675,0,358,1.6,,,
18:44:54,4,-3,-118,-2000.5566,-755.11205,-9963.5564,0,354,1,,,
18:44:55,-23,-13,-132,-2196.6896,-980.665,-9326.12415,0,351,0.6,,,
18:44:55,-3,-19,-53,-1980.9433,-745.3054,-9061.3446,0,349,0.9,,,
18:44:56,38,-26,64,-1853.45685,-617.81895,-9600.71035,0,349,1.3,,,
18:44:56,102,13,553,-1676.93715,-264.77955,-9718.39015,0,1,1.7,,,
18:44:57,53,48,484,-2235.9162,-598.20565,-10287.17585,0,15,2.2,,,
18:44:57,65,60,955,-1490.6108,-372.6527,-9914.52315,0,36,3.1,,,
18:44:58,164,82,913,-1745.5837,147.09975,-9512.4505,0,63,3.7,,,
18:44:58,156,69,1075,-1441.57755,-323.61945,-9845.8766,0,93,4.1,,,
18:44:59,104,45,517,-1686.7438,-990.47165,-10159.6894,0,114,3.6,,,
18:44:59,-6,-18,6,-1951.52335,-882.5985,-9747.8101,0,116,2.6,,,
18:45:00,49,9,24,-2245.72285,-509.9458,-10198.916,0,117,1.5,,,
18:45:00,57,7,179,-1402.35095,-813.95195,-9924.3298,0,121,0.7,,,
18:45:01,122,-11,455,-2275.1428,-98.0665,-9424.19065,0,134,0.5,,,
18:45:01,144,-13,512,-1882.8768,-431.4926,-9129.99115,0,149,1.6,,,
18:45:02,30,30,406,-1510.2241,-1157.1847,-9394.7707,0,164,2.3,,,
18:45:02,-14,54,57,-1853.45685,-1059.1182,-9777.23005,0,170,2.2,,,
18:45:03,2,-3,-81,-1853.45685,-696.27215,-10042.0096,0,168,1.8,,,
18:45:03,-53,25,-64,-961.0517,-1088.53815,-8659.27195,0,167,1.8,,,
18:45:04,9,-5,-86,-1735.77705,-1078.7315,-9473.2239,0,166,2.4,,,
18:45:04,-6,22,-76,-1520.03075,-1235.6379,-9845.8766,0,166,2.7,,,
18:45:05,-45,-20,45,-1402.35095,-1019.8916,-9296.7042,0,167,2.7,,,
18:45:05,27,14,85,-1853.45685,-882.5985,-9904.7165,0,170,2.8,,,
18:45:06,18,4,275,-1637.71055,-1147.37805,-9590.9037,0,178,2.6,,,
18:45:06,117,102,214,657.04555,-333.4261,-10149.88275,0,185,2.7,,,
18:45:07,44,4,139,-1902.4901,-823.7586,-9394.7707,0,191,3,,,
18:45:07,33,0,103,-1863.2635,-804.1453,-9463.41725,0,195,3,,,
18:45:08,-8,-4,-6,-2539.92235,-1039.5049,-9561.48375,0,197,3.4,,,
18:45:08,-5,0,-3,-1755.39035,-912.01845,-9590.9037,0,198,2.4,,,
18:45:09,-5,0,-4,-1627.9039,-961.0517,-9600.71035,0,199,1.6,,,
18:45:09,-8,-1,-3,-1539.64405,-941.4384,-9610.517,0,199,0.9,,,
18:45:10,71,29,356,-1892.68345,-735.49875,-9630.1303,0,206,0.3,,,
18:45:10,208,93,1215,-1990.74995,-755.11205,-8982.8914,0,238,0.3,,,
18:45:11,259,139,1587,-1873.07015,-676.65885,-8776.95175,0,283,0.9,,,
18:45:11,173,57,982,-1882.8768,-1108.15145,-9639.93695,0,320,1.8,,,
18:45:12,119,71,833,-1363.12435,-519.75245,-9051.53795,0,345,1.9,,,
18:45:12,64,12,294,-1382.73765,-1265.05785,-8718.11185,0,359,1.8,,,
18:45:13,27,18,223,-1902.4901,-617.81895,-10218.5293,0,4,1.2,,,
18:45:13,38,9,-59,-784.532,-657.04555,-9747.8101,0,7,1.6,,,
18:45:14,11,-19,-70,-1892.68345,-706.0788,-9433.9973,0,4,2.2,,,
18:45:14,-36,2,46,-1784.8103,-1235.6379,-10561.76205,0,4,2.2,,,
18:45:15,-56,7,119,-1431.7709,-921.8251,-9080.9579,0,5,1.7,,,
18:45:15,53,11,53,-2235.9162,-39.2266,-10257.7559,0,8,1.1,,,
18:45:16,-9,0,-188,-1559.25735,-833.56525,-9610.517,0,4,1.4,,,
18:45:16,-102,-49,-390,-2059.3965,-1716.16375,-9718.39015,0,353,2.2,,,
18:45:17,-48,-16,-477,-1922.1034,-1108.15145,-10208.72265,0,340,3.3,,,
18:45:17,-9,-58,-461,-1882.8768,-539.36575,-9365.35075,0,326,4,,,
18:45:18,-74,-3,-469,-1421.96425,-1176.798,-10130.26945,0,312,4.6,,,
18:45:18,-99,-79,-639,-2137.8497,-1598.48395,-9610.517,0,296,5.3,,,
18:45:19,-200,-49,-705,-1873.07015,-2255.5295,-9728.1968,0,275,6,,,
18:45:19,-97,-42,-718,-1735.77705,-1539.64405,-9433.9973,0,254,6.2,,,
18:45:20,-175,-58,-800,-1421.96425,-1608.2906,-9208.44435,0,232,6.5,,,
18:45:20,-90,-34,-790,-2177.0763,-1824.0369,-10091.04285,0,210,6.7,,,
18:45:21,-123,-64,-616,-1882.8768,-1569.064,-9375.1574,0,192,6.5,,,
18:45:21,-48,-23,-377,-1098.3448,-1059.1182,-10208.72265,0,179,6.3,,,
18:45:22,19,-21,-61,-1549.4507,-1392.5443,-9787.0367,0,176,5.6,,,
18:45:22,-54,16,93,-2059.3965,-735.49875,-9787.0367,0,178,4.4,,,
18:45:23,84,-37,81,-1461.19085,-284.39285,-9718.39015,0,181,3.7,,,
18:45:23,-36,27,77,-1284.67115,-598.20565,-9277.0909,0,185,3.3,,,
